Rounds,Depth,mcw,r_sample,c_sample,eta,scale_pos_weight,auc_max,std,best_round
3000,4,0.5,0.8,0.5,0.01,2,0.8413684,0.0143904,898.5
3000,4,0.5,0.8,0.5,0.01,3,0.8411806,0.0142004,884
3000,4,0.5,0.8,0.5,0.005,1,0.8415522,0.0145638,2043.4
3000,4,0.5,0.8,0.5,0.005,2,0.8411874,0.0145548,1565.6
3000,4,0.5,0.8,0.5,0.005,3,0.8411464,0.0145062,1513
3000,4,0.5,0.8,0.6,0.05,1,0.8405662,0.0146196,181.6
3000,4,0.5,0.8,0.6,0.05,2,0.8408122,0.0143832,215.8
3000,4,0.5,0.8,0.6,0.05,3,0.840891,0.0140552,164.4
3000,4,0.5,0.8,0.6,0.01,1,0.8414234,0.01467,1106.8
3000,4,0.5,0.8,0.6,0.01,2,0.841166,0.0145728,1034.6
3000,4,0.5,0.8,0.6,0.01,3,0.8412298,0.0145336,996.333333333333
3000,4,0.5,0.8,0.6,0.005,1,0.8412182,0.0147556,1673
3000,4,0.5,0.8,0.6,0.005,2,0.8411168,0.0146418,1557
3000,4,0.5,0.8,0.6,0.005,3,0.84111,0.0146178,1652.8
3000,4,0.5,0.8,0.7,0.05,1,0.8403386,0.0150172,179.2
3000,4,0.5,0.8,0.7,0.05,2,0.8410384,0.0148102,199.4
3000,4,0.5,0.8,0.7,0.05,3,0.8408224,0.0138426,176.2
3000,4,0.5,0.8,0.7,0.01,1,0.8412824,0.014654,926
3000,4,0.5,0.8,0.7,0.01,2,0.8412042,0.0145084,1000
3000,4,0.5,0.8,0.7,0.01,3,0.841142,0.0144474,894.2
3000,4,0.5,0.8,0.7,0.005,1,0.841099,0.0147536,1679.8
3000,4,0.5,0.8,0.7,0.005,2,0.8409194,0.0147442,1580.33333333333
3000,4,0.5,0.8,0.7,0.005,3,0.8409072,0.0145886,1559.16666666667
3000,4,1,0.6,0.5,0.05,1,0.8409246,0.0146608,197.8
3000,4,1,0.6,0.5,0.05,2,0.8406804,0.0147004,180.8
3000,4,1,0.6,0.5,0.05,3,0.8408348,0.0142662,167.166666666667
3000,4,1,0.6,0.5,0.01,1,0.8412356,0.0150392,869.333333333333
3000,4,1,0.6,0.5,0.01,2,0.8414312,0.0146882,996.6
3000,4,1,0.6,0.5,0.01,3,0.8411648,0.0148316,784
3000,4,1,0.6,0.5,0.005,1,0.841446,0.01484,1642.5
3000,4,1,0.6,0.5,0.005,2,0.841463,0.0145158,1599.14285714286
3000,4,1,0.6,0.5,0.005,3,0.8416956,0.0142532,1584.6
3000,4,1,0.6,0.6,0.05,1,0.840192,0.0145738,156.333333333333
3000,4,1,0.6,0.6,0.05,2,0.8401732,0.0142486,158.8
3000,4,1,0.6,0.6,0.05,3,0.8405068,0.0147748,180.2
3000,4,1,0.6,0.6,0.01,1,0.8413622,0.0148824,1019.85714285714
3000,4,1,0.6,0.6,0.01,2,0.8407294,0.0148686,656.4
3000,4,1,0.6,0.6,0.01,3,0.8410658,0.0147166,794.4
3000,4,1,0.6,0.6,0.005,1,0.8413116,0.0147618,1573.5
