Rounds,Depth,r_sample,c_sample,eta,scale_pos_weight,auc_max,best_round
300,6,0.85,0.8,0.005,24.2726063829787,0.83894,299
300,6,0.85,0.85,0.05,0.8,0.840408,137
300,6,0.85,0.85,0.05,1,0.840828,119
300,6,0.85,0.85,0.05,10,0.839889,69
300,6,0.85,0.85,0.05,24.2726063829787,0.838708,74
300,6,0.85,0.85,0.01,0.8,0.83757,300
300,6,0.85,0.85,0.01,1,0.83836,300
300,6,0.85,0.85,0.01,10,0.840797,278
300,6,0.85,0.85,0.01,24.2726063829787,0.838563,138
300,6,0.85,0.85,0.005,0.8,0.832395,300
300,6,0.85,0.85,0.005,1,0.833878,300
300,6,0.85,0.85,0.005,10,0.839976,299
300,6,0.85,0.85,0.005,24.2726063829787,0.838548,300
300,7,0.65,0.75,0.05,0.8,0.840746,120
300,7,0.65,0.75,0.05,1,0.840307,126
300,7,0.65,0.75,0.05,10,0.838244,32
300,7,0.65,0.75,0.05,24.2726063829787,0.835823,29
300,7,0.65,0.75,0.01,0.8,0.837988,300
300,7,0.65,0.75,0.01,1,0.839136,300
300,7,0.65,0.75,0.01,10,0.840307,237
300,7,0.65,0.75,0.01,24.2726063829787,0.837713,251
300,7,0.65,0.75,0.005,0.8,0.832365,300
300,7,0.65,0.75,0.005,1,0.834152,300
300,7,0.65,0.75,0.005,10,0.840162,299
300,7,0.65,0.75,0.005,24.2726063829787,0.837726,277
300,7,0.65,0.8,0.05,0.8,0.840298,126
300,7,0.65,0.8,0.05,1,0.840577,112
300,7,0.65,0.8,0.05,10,0.838237,30
300,7,0.65,0.8,0.05,24.2726063829787,0.836107,20
300,7,0.65,0.8,0.01,0.8,0.838391,300
300,7,0.65,0.8,0.01,1,0.839395,300
300,7,0.65,0.8,0.01,10,0.839714,132
300,7,0.65,0.8,0.01,24.2726063829787,0.836709,92
300,7,0.65,0.8,0.005,0.8,0.83301,300
300,7,0.65,0.8,0.005,1,0.834503,300
300,7,0.65,0.8,0.005,10,0.839952,277
300,7,0.65,0.8,0.005,24.2726063829787,0.837695,295
300,7,0.65,0.85,0.05,0.8,0.840651,127
300,7,0.65,0.85,0.05,1,0.8401,124
300,7,0.65,0.85,0.05,10,0.837914,60
300,7,0.65,0.85,0.05,24.2726063829787,0.83556,20
300,7,0.65,0.85,0.01,0.8,0.838412,300
300,7,0.65,0.85,0.01,1,0.839541,300
300,7,0.65,0.85,0.01,10,0.83975,125
300,7,0.65,0.85,0.01,24.2726063829787,0.836864,90
300,7,0.65,0.85,0.005,0.8,0.833399,300
300,7,0.65,0.85,0.005,1,0.834978,300
300,7,0.65,0.85,0.005,10,0.839848,236
300,7,0.65,0.85,0.005,24.2726063829787,0.837356,292
300,7,0.75,0.75,0.05,0.8,0.840313,146
300,7,0.75,0.75,0.05,1,0.840718,116
300,7,0.75,0.75,0.05,10,0.838868,26
300,7,0.75,0.75,0.05,24.2726063829787,0.835834,28
300,7,0.75,0.75,0.01,0.8,0.838075,300
300,7,0.75,0.75,0.01,1,0.839176,300
300,7,0.75,0.75,0.01,10,0.840525,198
300,7,0.75,0.75,0.01,24.2726063829787,0.837731,209
300,7,0.75,0.75,0.005,0.8,0.832626,300
300,7,0.75,0.75,0.005,1,0.834491,300
300,7,0.75,0.75,0.005,10,0.839862,300
300,7,0.75,0.75,0.005,24.2726063829787,0.837753,295
300,7,0.75,0.8,0.05,0.8,0.840456,126
300,7,0.75,0.8,0.05,1,0.840946,126
300,7,0.75,0.8,0.05,10,0.838947,80
300,7,0.75,0.8,0.05,24.2726063829787,0.835942,42
300,7,0.75,0.8,0.01,0.8,0.838295,299
300,7,0.75,0.8,0.01,1,0.839376,299
300,7,0.75,0.8,0.01,10,0.840181,198
300,7,0.75,0.8,0.01,24.2726063829787,0.837456,217
300,7,0.75,0.8,0.005,0.8,0.833286,300
300,7,0.75,0.8,0.005,1,0.834816,297
300,7,0.75,0.8,0.005,10,0.839777,300
300,7,0.75,0.8,0.005,24.2726063829787,0.837201,174
300,7,0.75,0.85,0.05,0.8,0.839997,129
300,7,0.75,0.85,0.05,1,0.840274,86
300,7,0.75,0.85,0.05,10,0.838198,27
300,7,0.75,0.85,0.05,24.2726063829787,0.835239,34
300,7,0.75,0.85,0.01,0.8,0.838448,300
300,7,0.75,0.85,0.01,1,0.839298,299
300,7,0.75,0.85,0.01,10,0.840116,166
300,7,0.75,0.85,0.01,24.2726063829787,0.836929,112
300,7,0.75,0.85,0.005,0.8,0.833629,300
300,7,0.75,0.85,0.005,1,0.834979,300
300,7,0.75,0.85,0.005,10,0.838992,127
300,7,0.75,0.85,0.005,24.2726063829787,0.837269,286
300,7,0.85,0.75,0.05,0.8,0.839927,100
300,7,0.85,0.75,0.05,1,0.840653,138
300,7,0.85,0.75,0.05,10,0.839762,32
300,7,0.85,0.75,0.05,24.2726063829787,0.836628,33
300,7,0.85,0.75,0.01,0.8,0.838037,300
300,7,0.85,0.75,0.01,1,0.838932,300
300,7,0.85,0.75,0.01,10,0.84022,200
300,7,0.85,0.75,0.01,24.2726063829787,0.837011,156
300,7,0.85,0.75,0.005,0.8,0.832657,300
300,7,0.85,0.75,0.005,1,0.834393,300
300,7,0.85,0.75,0.005,10,0.839942,299
300,7,0.85,0.75,0.005,24.2726063829787,0.837284,297
300,7,0.85,0.8,0.05,0.8,0.84064,138
